HTID	author
mdp.39015060658997	Morgan, Richard K
mdp.39015060899435	Clarke, Arthur C. (Arthur Charles)
mdp.39015062063618	Niven, Larry
mdp.39015062537835	Zahn, Timothy
mdp.39015066013957	Bradley, Marion Zimmer
mdp.39015066055297	Russell, Eric Frank
mdp.39015066055545	Simak, Clifford D
mdp.39015066065247	Lem, Stanisław
mdp.39015066681423	Norton, Andre
mdp.39015066897003	Reynolds, Alastair
mdp.39015069332511	Reynolds, Alastair
mdp.39015073668769	Banks, Iain
mdp.39015073820865	Knight, Damon
mdp.39015080873352	Anderson, Poul
mdp.39015082657167	Card, Orson Scott
mdp.39015082723266	Hamilton, Peter F
mdp.39015084108342	Baxter, Stephen
mdp.39076000545603	Heinlein, Robert A. (Robert Anson)
mdp.39076000644612	Norton, Andre
mdp.39076000644620	Norton, Andre
mdp.49015000528811	Burroughs, Edgar Rice
mdp.49015000529041	Sturgeon, Theodore
mdp.49015000617416	Martin, George R. R
mdp.49015000670696	Campbell, John W., (John Wood) Jr
mdp.49015000719303	May, Julian
mdp.49015000722596	Niven, Larry
mdp.49015001037275	Asimov, Isaac
mdp.49015001300590	Simak, Clifford D
mdp.49015001396358	Van Vogt, A. E. (Alfred Elton)
mdp.49015001409755	Asimov, Isaac
mdp.49015002042977	Kress, Nancy
mdp.49015002141738	Wilson, Robert Charles
mdp.49015002815232	Asimov, Isaac
mdp.49015002834613	Tiptree, James
mdp.49015003059152	Card, Orson Scott
mdp.49015003071447	Herbert, Frank
miun.acb1468.0001.001	Huxley, Aldous
nyp.33433075746960	Shelley, Mary Wollstonecraft
nyp.33433105944254	Wells, H. G. (Herbert George)
osu.32435053306510	Brunner, John
osu.32435053307864	Campbell, John W., (John Wood) Jr
osu.32435055416515	Pohl, Frederik
osu.32435055419790	Sheckley, Robert
osu.32435056556525	Wells, H. G. (Herbert George)
osu.32435074817214	Blish, James
pst.000000015790	Aldiss, Brian Wilson
pst.000012745111	Vance, Jack
pst.000012778621	Anderson, Poul
pst.000013229382	Bradley, Marion Zimmer
pst.000013229429	Bradley, Marion Zimmer
pst.000013229474	Bradley, Marion Zimmer
pst.000013229498	Bradley, Marion Zimmer
pst.000013229504	Bradley, Marion Zimmer
pst.000013229702	Van Vogt, A. E. (Alfred Elton)
pst.000013229719	Vance, Jack
pst.000013229740	Heinlein, Robert A. (Robert Anson)
pst.000013408435	Atwood, Margaret
pst.000013669980	Miller, Walter M
pst.000015004468	Norton, Andre
pst.000017857178	Bujold, Lois McMaster
pst.000021219610	Burroughs, Edgar Rice
pst.000021680403	Pohl, Frederik
pst.000021689758	Simak, Clifford D
pst.000021809019	Sturgeon, Theodore
pst.000026189895	Simmons, Dan
pst.000030169975	Norton, Andre
pst.000031166706	Bradbury, Ray
pst.000043295531	Lem, Stanisław 
pst.000043872435	Smith, E. E. (Edward Elmer)
pst.000043872565	Smith, E. E. (Edward Elmer)
pst.000044164966	Wells, H. G. (Herbert George)
pst.000044255312	Smith, E. E. (Edward Elmer)
pst.000053892157	Silverberg, Robert
pst.000054711426	Delany, Samuel R
pst.000061659094	Lem, Stanisław
pst.000066152552	Heinlein, Robert A. (Robert Anson)
pst.000066163275	Asimov, Isaac
pst.000066163282	Asimov, Isaac
uc1.31175033855811	Wells, H. G. (Herbert George)
uc1.32106002151774	Van Vogt, A. E. (Alfred Elton)
uc1.32106002159686	Anderson, Poul
uc1.32106002186010	Russ, Joanna
uc1.32106006839184	Pohl, Frederik
uc1.32106006995556	Delany, Samuel R
uc1.32106007071217	Lem, Stanisław
uc1.32106007115337	Lem, Stanisław
uc1.32106007119784	Asimov, Isaac
uc1.32106008842756	Delany, Samuel R
uc1.32106009743425	Heinlein, Robert A. (Robert Anson)
uc1.32106010740675	May, Julian
uc1.32106012732845	Simak, Clifford D
uc1.32106012870439	Blish, James 
uc1.32106012964117	Clarke, Arthur C. (Arthur Charles)
uc1.32106013136855	Lem, Stanisław
uc1.32106014552639	Delany, Samuel R
uc1.32106015587949	Adams, Douglas
uc1.32106016094416	Lem, Stanisław 
uc1.32106016251792	Dick, Philip K 
uc1.32106016538131	Bujold, Lois McMaster 
uc1.32106017551539	Asimov, Isaac
uc1.32106018973146	Dick, Philip K 
uc1.32106019118618	Delany, Samuel R
uc1.$b120176	Moore, Ward
uc1.b3472503	Brunner, John
uc1.b3860560	Simak, Clifford D
uc1.b3884191	Pohl, Frederik
uc1.b4098574	Norton, Andre
uc1.$b451142	Merril, Judith
uc1.b4929413	???
uc1.b4929414	Lem, Stanisław
uc1.b4948763	Van Vogt, A. E. (Alfred Elton)
uc1.b4951156	Van Vogt, A. E. (Alfred Elton)
uiug.30112048596446	Abbott, Edwin Abbott
