topicID	numTokens	proportionOfTopic	proportionOfWord	word
47	8928	0.003398	0.148651	times
50	34044	0.020505	0.633495	hair
50	16804	0.010121	0.220554	black
50	16197	0.009755	0.751601	wore
50	14672	0.008837	0.228322	white
50	12585	0.007580	0.173586	woman
50	11564	0.006965	0.423900	tall
50	11558	0.006961	0.260022	blue
50	10896	0.006563	0.198398	red
50	10241	0.006168	0.135195	dark
50	9799	0.005902	0.524572	wearing
50	9676	0.005828	0.324480	skin
50	8481	0.005108	0.191186	women
50	8230	0.004957	0.566414	dressed
50	8073	0.004862	0.432173	brown
50	8062	0.004856	0.126048	young
50	7610	0.004583	0.066807	small
50	7527	0.004533	0.071781	hands
50	7479	0.004505	0.180217	green
50	7252	0.004368	0.241411	gray
50	6766	0.004075	0.057150	men
25	13118	0.005014	0.122874	work
25	11278	0.004311	0.193581	possible
25	9988	0.003818	0.113940	human
25	9971	0.003811	0.125044	use
25	9515	0.003637	0.277324	problem
25	9427	0.003603	0.181358	certain
25	9163	0.003502	0.137356	itself
25	8937	0.003416	0.100983	also
25	8929	0.003413	0.079959	each
25	8677	0.003316	0.128605	able
25	8236	0.003148	0.634026	theory
25	8215	0.003140	0.225935	machine
25	8203	0.003135	0.071887	same
25	8020	0.003065	0.155426	however
25	7935	0.003033	0.249371	information
25	7775	0.002972	0.076443	since
25	7655	0.002926	0.115217	fact
25	7306	0.002792	0.096974	used
25	7242	0.002768	0.094531	matter
25	7199	0.002752	0.132092	different
5	15456	0.032983	0.453787	sea
5	12657	0.027010	0.182720	water
5	5998	0.012800	0.561610	boat
5	5784	0.012343	0.431320	island
5	5631	0.012017	0.060212	ship
5	4883	0.010420	0.577187	shore
5	4627	0.009874	0.496992	beach
5	4486	0.009573	0.357450	ocean
5	4346	0.009274	0.306056	deck
5	3954	0.008438	0.375499	fish
5	3889	0.008299	0.314136	waves
5	2891	0.006169	0.703406	boats
5	2669	0.005696	0.026444	along
5	2429	0.005184	0.092463	ships
5	2373	0.005064	0.394842	waters
5	2350	0.005015	0.023395	toward
5	2306	0.004921	0.246895	bay
5	2171	0.004633	0.125855	sand
5	2128	0.004541	0.104828	aboard
5	2111	0.004505	0.439792	islands
4	8053	0.009959	0.154717	father
4	5617	0.006947	0.207576	lord
4	5380	0.006654	0.074207	woman
4	5358	0.006626	0.203185	son
4	5348	0.006614	0.229233	lady
4	4920	0.006085	0.041558	men
4	4678	0.005785	0.116484	mother
4	4431	0.005480	0.099887	women
4	4343	0.005371	0.355110	paul
4	4191	0.005183	0.112935	child
4	3886	0.004806	0.796311	dom
4	3690	0.004563	0.107361	cannot
4	3453	0.004270	0.174659	king
4	3280	0.004056	0.066898	herself
4	3242	0.004009	0.988415	bard
4	3216	0.003977	0.086058	shall
4	3145	0.003889	0.138913	brother
4	3067	0.003793	0.029299	may
4	2791	0.003452	0.043637	young
4	2748	0.003399	0.216548	tower
3	15843	0.015422	0.641157	car
3	15659	0.015242	0.560050	street
3	12021	0.011701	0.183387	city
3	9715	0.009457	0.403782	road
3	7816	0.007608	0.077440	along
3	6844	0.006662	0.502866	streets
3	6431	0.006260	0.324962	town
3	5916	0.005759	0.810411	driver
3	5829	0.005674	0.896769	cars
3	5619	0.005470	0.164442	building
3	5460	0.005315	0.114107	front
3	5398	0.005254	0.048530	across
3	5242	0.005103	0.078508	past
3	5180	0.005042	0.675359	traffic
3	5013	0.004880	0.313901	buildings
3	4970	0.004838	0.091952	walked
3	4893	0.004763	0.398129	drove
3	4881	0.004751	0.304302	police
3	4552	0.004431	0.085693	house
3	4551	0.004430	0.049918	night
39	11323	0.003157	0.111326	since
39	11210	0.003125	0.233202	case
39	11073	0.003087	0.256438	order
39	10526	0.002935	0.118938	also
39	10466	0.002918	0.505848	report
39	10059	0.002805	0.096093	may
39	9523	0.002655	0.124305	matter
39	9468	0.002640	0.150596	taken
39	9391	0.002618	0.295129	information
39	9224	0.002572	0.138832	fact
39	8987	0.002506	0.449800	public
39	8952	0.002496	0.454186	government
39	8768	0.002445	0.174766	given
39	8713	0.002429	0.255064	general
39	8571	0.002390	0.213794	sent
39	8308	0.002316	0.091196	already
39	7868	0.002194	0.135166	best
39	7820	0.002180	0.306787	office
39	7766	0.002165	0.741738	official
39	7607	0.002121	0.130570	possible
41	18703	0.006850	0.181989	side
41	16389	0.006002	0.156294	hands
41	15673	0.005740	0.318104	pulled
